# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	62556
#@/user_id	3341f95e-2102-4b54-a91e-f7eb6dfaf9d9
bao shun feng 	包順豐	c=1 d=1 t=31186
bao xi 	報喜	c=1 d=1 t=2809
bao xian 	保險	c=7 d=1.8825 t=61937
bao xiao 	報銷	c=12 d=1 t=60099
bao xiu 	保修	c=14 d=4.79629 t=61935
bao you 	包郵	c=8 d=1 t=38626
bao yue 	包月	c=1 d=1 t=55048
bao zai fan 	煲仔飯	c=1 d=1 t=61961
bao zeng 	暴增	c=1 d=1 t=48782
bao zhang 	保障	c=1 d=1 t=58063
bao zhe 	抱着	c=1 d=1 t=47591
bao zhen 	抱枕	c=1 d=1 t=40338
bao zheng 	保證	c=8 d=1 t=61077
bao zheng de 	保證的	c=1 d=1 t=50038
bao zheng le 	保證了	c=1 d=1 t=36051
bao zhuang 	包裝	c=2 d=1 t=48835
bei 	倍	c=1 d=1 t=30649
bei 	備	c=2 d=1.00423 t=44693
bei 	北	c=4 d=1.00003 t=60765
bei 	唄	c=44 d=1.10229 t=60531
bei 	盃	c=1 d=1 t=814
bei 	背	c=4 d=1 t=61846
bei 	被	c=28 d=1.00064 t=60532
bei an 	備案	c=2 d=1 t=52458
bei bao 	背包	c=4 d=1 t=36904
bei can jian 	備餐間	c=2 d=1.00007 t=46688
bei da 	北大	c=0 d=0.1 t=13866
bei da kou qiang 	北大口腔	c=1 d=1 t=13867
bei dan ci 	背單詞	c=1 d=1 t=3252
bei fen 	備份	c=21 d=1.00001 t=62114
bei fen ne 	備份呢	c=1 d=1 t=37715
bei guo 	北國	c=2 d=1.99005 t=52528
bei hang 	北航	c=9 d=1 t=58696
bei hou 	背後	c=4 d=1.97045 t=46735
bei hui qu 	背回去	c=1 d=1 t=47044
bei jing 	北京	c=117 d=1.00669 t=61966
bei jing 	背景	c=3 d=1 t=59288
bei jing shi 	北京市	c=16 d=1.00002 t=60918
bei jing tu 	背景圖	c=2 d=1.9802 t=5271
bei kao 	備考	c=1 d=1 t=27501
bei kao 	背靠	c=1 d=1 t=7978
bei ke 	貝殼	c=3 d=1.01851 t=47340
bei ke rui 	貝殼瑞	c=1 d=1 t=47341
bei mei 	北美	c=5 d=4.70978 t=60960
bei ni 	被你	c=1 d=1 t=12722
bei pan 	背叛	c=1 d=1 t=40893
bei po 	被迫	c=2 d=1.08586 t=7969
